manufacturer_code,manufacturer_name,item_muc,item_name,item_description,item_pack_size,item_category,retailer_code,retailer_name,retailer_category,retailer_city,retailer_address,distributor_code,dist_address,dc_code,dc_name,dc_address,city_name,total_cases,date
604,Dabur India Ltd.,40006,Real Fruit Juice,"Real mixed fruit juice, made with real fruits and no added preservatives or colors",1 L,Beverages,,,,,,,,,,,,50,2024-02-29
603,Nestle India Ltd.,30009,Milkybar Chocolate,"Milkybar white chocolate, made with milk and creamy cocoa butter for a smooth texture and milky taste",50 g,Snacks,,,,,,,,,,,,77,2024-02-29
605,Patanjali Ayurved Ltd.,50009,Patanjali Oats,"Patanjali oats, nutritious and healthy option for breakfast, rich in fiber and essential nutrients",500 g,Food Products,,,,,,,,,,,,47,2024-02-29
601,Hindustan Unilever Ltd.,10005,Pears Soap,Pears pure and gentle soap with natural oils and glycerin for soft and moisturized skin,125 g,Personal Care,,,,,,,,,,,,30,2024-02-29
610,Godrej Consumer Products Ltd.,100009,Godrej Shikakai Shampoo,"Godrej Shikakai shampoo, with natural extracts of shikakai for clean and healthy hair",200 ml,Personal Care,,,,,,,,,,,,29,2024-02-29
601,Hindustan Unilever Ltd.,10007,Kissan Ketchup,"Kissan fresh tomato ketchup, made from sun-ripened tomatoes for a tangy taste",500 g,Food Products,,,,,,,,,,,,79,2024-02-29
607,Colgate-Palmolive (India) Ltd.,70001,Colgate Toothpaste,"Colgate strong teeth toothpaste, with fluoride for cavity protection and fresh breath",200 g,Personal Care,,,,,,,,,,,,23,2024-02-29
604,Dabur India Ltd.,40004,Dabur Red Toothpaste,"Dabur Red toothpaste, with natural ingredients for strong teeth and fresh breath",200 g,Personal Care,,,,,,,,,,,,59,2024-02-29
601,Hindustan Unilever Ltd.,10001,Dove Soap,"Dove beauty bar gently cleanses and moisturizes your skin, leaving it soft and smooth",100 g,Personal Care,224320.0,PetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCarePetCare,Pet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet Store,HyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabad,"45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad45 Pet Paradise, Hyderabad",32192.0,"303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad303 Hilltop Plaza, Hyderabad",IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006IN006,Hyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution CenterHyderabad Distribution Center,"Hyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, TelanganaHyderabad, Telangana",HyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabadHyderabad,52,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20006,Olay Moisturizer,"Olay total effects 7-in-1 anti-ageing moisturizer, fights the 7 signs of ageing for younger-looking skin",50 g,Personal Care,,,,,,,,,,,,1,2024-02-29
