manufacturer_code,manufacturer_name,item_muc,item_name,item_description,item_pack_size,item_category,retailer_code,retailer_name,retailer_category,retailer_city,retailer_address,distributor_code,dist_address,dc_code,dc_name,dc_address,city_name,total_cases,date
603,Nestle India Ltd.,30010,Bar-One Chocolate,"Nestle Bar-One chocolate bar, with crunchy wafer and rich chocolate for an energy boost",19 g,Snacks,,,,,,,,,,,,82,2024-02-29
605,Patanjali Ayurved Ltd.,50006,Patanjali Amla Juice,"Patanjali Amla juice, rich in Vitamin C and antioxidants for overall health and immunity",1 L,Beverages,,,,,,,,,,,,66,2024-02-29
609,Marico Ltd.,90001,Parachute Coconut Oil,"Parachute pure coconut hair oil, with the goodness of coconut for strong and healthy hair",500 ml,Personal Care,,,,,,,,,,,,18,2024-02-29
608,ITC Ltd.,80004,Bingo Potato Chips,"Bingo Mad Angles potato chips, with a tangy twist of Indian spices for a unique taste",80 g,Snacks,,,,,,,,,,,,71,2024-02-29
603,Nestle India Ltd.,30007,Milkmaid Condensed Milk,"Milkmaid sweetened condensed milk, makes delicious desserts and sweets",400 g,Food Products,,,,,,,,,,,,41,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20010,Old Spice Deodorant,"Old Spice original deodorant spray, with a fresh and masculine fragrance",150 ml,Personal Care,,,,,,,,,,,,33,2024-02-29
601,Hindustan Unilever Ltd.,10005,Pears Soap,Pears pure and gentle soap with natural oils and glycerin for soft and moisturized skin,125 g,Personal Care,,,,,,,,,,,,44,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20001,Pampers Diapers,"Pampers baby dry diapers, with magic gel that locks wetness away for up to 12 hours of dryness",Medium,Baby Care,,,,,,,,,,,,34,2024-02-29
609,Marico Ltd.,90008,Livon Hair Serum,"Livon hair serum, with vitamin E for instant shine and frizz-free hair",100 ml,Personal Care,,,,,,,,,,,,70,2024-02-29
608,ITC Ltd.,80002,Classmate Notebook,"Classmate 200 pages single line notebook, ideal for school and college students",200 pages,Stationery,,,,,,,,,,,,37,2024-02-29
603,Nestle India Ltd.,30008,Maggi Ketchup,"Maggi hot and sweet tomato ketchup, adds a tangy twist to your snacks and meals",500 g,Food Products,,,,,,,,,,,,66,2024-02-29
608,ITC Ltd.,80008,Vivel Body Wash,"Vivel satin soft body wash, with almond oil and shea butter for soft and moisturized skin",200 ml,Personal Care,,,,,,,,,,,,34,2024-02-29
605,Patanjali Ayurved Ltd.,50001,Patanjali Dant Kanti Toothpaste,"Patanjali Dant Kanti toothpaste, herbal formulation for strong gums and teeth",200 g,Personal Care,,,,,,,,,,,,60,2024-02-29
608,ITC Ltd.,80006,Savlon Antiseptic Liquid,"Savlon antiseptic liquid, with powerful germ protection for minor cuts and wounds",500 ml,Healthcare,,,,,,,,,,,,43,2024-02-29
604,Dabur India Ltd.,40010,Dabur Lal Tail,"Dabur Lal Tail, Ayurvedic massage oil for baby's overall growth and development",500 ml,Baby Care,,,,,,,,,,,,43,2024-02-29
604,Dabur India Ltd.,40004,Dabur Red Toothpaste,"Dabur Red toothpaste, with natural ingredients for strong teeth and fresh breath",200 g,Personal Care,,,,,,,,,,,,71,2024-02-29
610,Godrej Consumer Products Ltd.,100008,Expert Liquid Dishwash,"Expert liquid dishwash, tough on grease and gentle on hands, for sparkling clean dishes",750 ml,Home Care,,,,,,,,,,,,38,2024-02-29
601,Hindustan Unilever Ltd.,10003,Knorr Soup,Knorr classic thick tomato soup with a delightful taste of tomatoes and real vegetables,53 g,Food Products,,,,,,,,,,,,79,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20009,Oral-B Toothbrush,"Oral-B cross action toothbrush, with angled bristles to reach deep between teeth",1 count,Personal Care,,,,,,,,,,,,60,2024-02-29
605,Patanjali Ayurved Ltd.,50004,Patanjali Honey,"Patanjali honey, pure and natural honey sourced from Himalayan forests",500 g,Food Products,,,,,,,,,,,,62,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20008,Vicks Vaporub,"Vicks vaporub, provides relief from cold symptoms like cough and congestion",50 g,Healthcare,,,,,,,,,,,,68,2024-02-29
605,Patanjali Ayurved Ltd.,50009,Patanjali Oats,"Patanjali oats, nutritious and healthy option for breakfast, rich in fiber and essential nutrients",500 g,Food Products,,,,,,,,,,,,5,2024-02-29
602,Procter & Gamble Hygiene and Health Care Ltd.,20004,Whisper Sanitary Pads,"Whisper ultra soft sanitary pads, with 1000 suction holes for clean, dry protection",Regular,Feminine Hygiene,,,,,,,,,,,,12,2024-02-29
609,Marico Ltd.,90003,Set Wet Hair Gel,"Set Wet hair gel, for a wet and stylish look with long-lasting hold and shine",100 ml,Personal Care,,,,,,,,,,,,11,2024-02-29
607,Colgate-Palmolive (India) Ltd.,70006,Vivel Soap,"Vivel luxury creme soap, with almond oil and butter for soft and smooth skin",100 g,Personal Care,,,,,,,,,,,,39,2024-02-29
606,Britannia Industries Ltd.,60010,Britannia Ghee,"Britannia cow ghee, made from pure cow's milk for a rich and authentic flavor",500 g,Food Products,,,,,,,,,,,,24,2024-02-29
604,Dabur India Ltd.,40006,Real Fruit Juice,"Real mixed fruit juice, made with real fruits and no added preservatives or colors",1 L,Beverages,,,,,,,,,,,,45,2024-02-29
