manufacturer_code,manufacturer_name,item_muc,item_name,item_description,item_pack_size,item_category,retailer_code,retailer_name,retailer_category,retailer_city,retailer_address,distributor_code,dist_address,dc_code,dc_name,dc_address,city_name,total_cases,date
603,Nestle India Ltd.,30009,Milkybar Chocolate,"Milkybar white chocolate, made with milk and creamy cocoa butter for a smooth texture and milky taste",50 g,Snacks,,,,,,,,,,,,16,2024-02-29
606,Britannia Industries Ltd.,60001,Britannia Good Day Biscuits,"Britannia Good Day butter cookies, with a rich and buttery taste, perfect with tea or coffee",75 g,Snacks,,,,,,,,,,,,59,2024-02-29
608,ITC Ltd.,80009,Dermafique Face Serum,"Dermafique serum, with advanced skincare technology for youthful and radiant skin",30 ml,Personal Care,,,,,,,,,,,,89,2024-02-29
603,Nestle India Ltd.,30006,Munch Chocolate,"Nestle Munch chocolate bar, with crunchy caramel and rich chocolate, a perfect snack",32 g,Snacks,,,,,,,,,,,,35,2024-02-29
610,Godrej Consumer Products Ltd.,100004,Hit Spray,"Hit mosquito and fly spray, kills mosquitoes and flies instantly, safe for indoor use",200 ml,Home Care,,,,,,,,,,,,6,2024-02-29
607,Colgate-Palmolive (India) Ltd.,70006,Vivel Soap,"Vivel luxury creme soap, with almond oil and butter for soft and smooth skin",100 g,Personal Care,,,,,,,,,,,,53,2024-02-29
610,Godrej Consumer Products Ltd.,100006,Godrej Nupur Henna,"Godrej Nupur henna, with 9 herbs for natural color and care for your hair",400 g,Personal Care,,,,,,,,,,,,42,2024-02-29
610,Godrej Consumer Products Ltd.,100008,Expert Liquid Dishwash,"Expert liquid dishwash, tough on grease and gentle on hands, for sparkling clean dishes",750 ml,Home Care,,,,,,,,,,,,26,2024-02-29
607,Colgate-Palmolive (India) Ltd.,70005,Hills Biscuits,"Hills cream biscuits, rich and creamy biscuits, a delightful treat for any time of the day",100 g,Snacks,,,,,,,,,,,,21,2024-02-29
601,Hindustan Unilever Ltd.,10001,Dove Soap,"Dove beauty bar gently cleanses and moisturizes your skin, leaving it soft and smooth",100 g,Personal Care,64320.0,PetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalacePetPalace,Pet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet StorePet Store,MumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbai,"45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai45 Pet Haven, Mumbai",32032.0,"123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai123 Main Street, Mumbai",IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001IN001,Mumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution CenterMumbai Distribution Center,"Mumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, MaharashtraMumbai, Maharashtra",MumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbaiMumbai,78,2024-02-29
